,g_number_of_nodes,g_number_of_arcs,g_min_cost,g_max_cost,g_sum_cost,g_mean_cost,g_std_cost,g_min_cap,g_max_cap,g_sum_cap,g_mean_cap,g_std_cap,g_shortest_path,g_supply,g_number_of_supply_nodes,g_arcs_source_sink,mst_sum_cost,mst_mean_cost,mst_std_cost,mst_sum_cap,mst_mean_cap,mst_std_cap,Network Simplex,CS2,SSP,CAS,CC Simple,CC Minimum Mean Cycle,CC Cancel and Tighten,Minimum
34876303,102,215,1,10,1233,0.5734883720930233,0.2886929947429085,2,9997,1005573,0.4678487267110365,0.2977793492995271,22,10000.0,1,6,336,0.3696369636963696,0.2033269976175652,473178,0.4729386930213312,0.291802238897719,23,137,62,79,1761,3926,721,Network Simplex
34877315,502,960,2,1000,483122,0.5032520833333334,0.2843079481313523,3,9999,4789653,0.4989720847084709,0.2813258856038748,19891,223.0,1,51,144806,0.3158840788368618,0.1966616186482913,2574017,0.5138272310264959,0.2824377047102073,667,1252,60,58,8534,11870,6582,CAS
34881168,1002,2090,7,9998,10434223,0.4993449886149479,0.2922636205971128,4,10000,10394644,0.4973513875598086,0.287051690726239,26932,31622.0,1,11,2547523,0.2713485469642842,0.1818957735499465,5104484,0.5099384615384616,0.2863366515331552,345,2669,2570,3726,58879,270055,13235,Network Simplex
34886732,1002,1910,1,1000,955890,0.5004659685863874,0.2863483117605997,1,1000,967008,0.5062869109947644,0.2881324727804257,40515,316.0,1,101,283626,0.3393325237636614,0.2137139578591564,500774,0.5002737262737262,0.2885943975075196,897,3362,2524,1045,93376,181975,39826,Network Simplex
34901964,10002,20000,1,10,110553,0.5527650000000001,0.2877331311736624,1,10000,99828221,0.499141105,0.2882297008496504,402,1000.0,1,101,32215,0.3221177882211778,0.1718772828052418,49911131,0.499061403859614,0.2882557899681183,15379,22957,6531,5412,14414211,24641710,718238,CAS
34903679,1002,2090,1,100,107692,0.5152727272727272,0.2880667241830565,1,100,107806,0.5158181818181817,0.2891955935764974,271,316.0,1,11,27806,0.3306931164074021,0.209806414209746,51863,0.5181118881118881,0.2895805148726991,626,2230,2158,2174,45718,163143,12451,Network Simplex
34904476,10002,20000,1,2,30030,0.75075,0.2499988749974687,1,10000,100342714,0.5017135699999999,0.2876825329470927,134,10000.0,1,101,11043,0.5520947905209479,0.1527531605599455,50141432,0.5013641835816418,0.287316729580347,9704,36142,42869,64892,23845325,52956257,840351,Network Simplex
34907857,252,455,1,2,677,0.743956043956044,0.2499269305123774,7,9997,2182060,0.4797175416361172,0.3032440046018417,71,1581.0,1,51,285,0.5677290836653387,0.1711061455895809,1231655,0.4923732723131155,0.3026987037564109,144,721,145,164,5971,7881,3060,Network Simplex
34908402,2002,4080,1,10,22183,0.5437009803921569,0.2920591680569155,1,1000,2037166,0.4993053921568627,0.2861968768590353,72,4472.0,1,21,6108,0.3391637514576045,0.1863336632196544,997347,0.4984242878560719,0.2899083871731351,947,6958,11486,9412,254756,934392,40791,Network Simplex
34915825,252,545,1,100,27676,0.5078165137614679,0.2844808619717908,7,9994,2764409,0.5075355304926075,0.2802381667979203,148,158.0,1,6,6624,0.3141718838929994,0.2050703726229167,1302564,0.5205113348012164,0.2707085788594878,40,195,30,41,219,874,829,SSP
